"","MSigDBpathways2.stat","MSigDBpathways2.pval","MSigDBpathways2.p.adj","MSigDBpathways2.num.genes","MSigDBpathways2.gene.vals"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_23_SECRETED_2",0.00747555783332021,0.863942467155185,0.99765157706311,44,"KLK11:40, NDRG2:1290, CTSC:1530, ELF3:1533, VMO1:2221, NCOA7:2569, MMP7:2894, CLU:2912, SLPI:2954, TSPAN1:2997, LCN2:3104, FMO2:3806, GSTA1:5058, MSMB:5349, CD24:5715, IGFBP3:5834, AKR1C1:6333, CD82:6894, WFDC2:7749, FAM3D:8082, CP:8102, AGR2:8143, TGM2:8232, TNFSF10:8885, RDH10:8915, SERPINF1:9071, S100A9:9155, LTF:9219, C3:9317, BPIFB1:9592, CLDN4:9675, RARRES1:10385, SAA1:11471, TFF3:11699, CXCL2:11920, KRT19:11974, PRSS23:12593, TSPAN8:12897, SPINK1:14218, KYNU:14550, CXCL8:14637, PDZK1IP1:15055, PIGR:15203, SCGB3A1:15870"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_24_CILIA",0.0291314477676636,0.52423890208101,0.992129668813582,40,"DNAAF1:444, RSPH1:522, DNALI1:641, KIF9:998, ODF3B:1059, EFHC1:1735, FOXJ1:1914, C20orf85:2208, TSPAN1:2997, OSCP1:3144, C9orf24:3763, LRRC23:3810, CETN2:4007, DNAH5:4023, GSTA1:5058, ZMYND10:5076, PSENEN:5389, CAPS:5513, CES1:5648, SLC44A4:5762, LRRIQ1:6340, IGFBP7:6538, WDR54:7387, IQCG:7637, DYNLRB2:10034, PLAC8:10250, FABP6:11295, CAPSL:11466, IFT57:12260, MLF1:12706, IGFBP2:13287, PIFO:13307, NUCB2:13391, MRPS31:13441, TUBA1A:13468, MS4A8:14542, FAM229B:15214, DPCD:15451, SPA17:15969, MORN2:16109"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_25_ASTROCYTES",0.0114092678042386,0.798304037551083,0.99765157706311,42,"NTRK2:717, EDNRB:1091, SPARC:1260, NDRG2:1290, SLC1A3:1504, ID4:1722, IFITM3:2206, CLU:2912, ID3:3573, CRYAB:3832, AHCYL1:4137, CST3:4260, TTYH1:5022, ID1:5106, ALDOC:5721, F3:6385, ATP1A2:6520, IGFBP7:6538, HEY1:6666, SPARCL1:6906, ITM2C:7826, PLTP:8465, S100B:8610, CD9:8807, RASSF4:8969, CPE:9119, GFAP:9426, GATM:9679, FABP7:9920, ATP1B2:10262, PMP2:11272, PON2:11443, BCAN:12157, PLP1:12237, AGT:13141, GJA1:13487, PSAT1:13760, RAMP1:13974, VIM:14644, ZFP36:14855, AQP4:15705, SCRG1:15926"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_26_NPC_GLIOMA",-0.00591406588643262,0.897133084783178,0.99765157706311,40,"GNG3:52, DLX5:414, RND3:525, GAP43:914, CXADR:2540, PKIA:3048, PAK3:3291, UCHL1:3445, STMN4:3801, BEX2:4467, BASP1:4775, STMN1:4856, SCG2:5819, TAGLN3:6075, STMN2:6656, KIF5C:6736, GPC2:6836, MAP1B:6978, TCEAL7:7309, NSG1:7417, SOX4:8933, SOX11:9013, SYT1:9103, RBP1:9127, ARL4D:9645, ELAVL4:9824, DCX:10193, CD24:10395, DDAH2:10859, NREP:11428, KLHDC8A:11888, SNAP25:12063, RTN1:12202, IGFBPL1:12524, TERF2IP:13127, ENO2:13984, FNBP1L:14131, RBFOX2:14308, NNAT:14323, SCG3:15007"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_27_OLIGO_PROGENITOR",-0.0463329655926754,0.277560938968053,0.936371708442785,46,"SCRG1:184, CNP:995, APOD:1406, LIMA1:2069, FGF12:2093, PSAT1:2350, OMG:2372, RTKN:2539, ASCL1:2585, MPZL1:3267, FIBIN:3358, NKAIN4:3408, SIRT2:3430, OLIG1:3630, PLP1:3873, BCAN:3953, THY1:4326, CA10:4398, TUBB4A:4499, ACAT2:4595, SMOC1:4709, TNR:4925, GPR17:5022, PGRMC1:5115, DLL1:7233, HES6:7355, P2RX7:7468, NEU4:7784, BCAS1:8025, SERINC5:8655, PDGFRA:9564, CNTN1:10841, FDFT1:11275, RAB33A:12013, SCD5:12463, SLC1A1:12707, OLIG2:12739, TNFRSF21:12806, DLL3:13016, MSMO1:13468, PTGDS:13883, SGK1:14021, SOX8:14741, DHCR7:15029, RGR:15344, LMF1:15686"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_28_OLIGO_NORMAL",0.000454178563253693,0.991600078757486,0.99765157706311,45,"ANKS1B:230, S100A1:696, APLP1:1087, PPP1R14A:1359, MBP:1595, PTGDS:2227, CMTM5:2270, LARP6:2454, MAL:2574, CRYAB:3832, RNASE1:4121, MAG:4123, FAM107B:5026, BIN1:5080, KLK6:5112, SCD:5149, ABCA2:5605, PACS2:5743, HSPA2:6125, TMEM144:6761, CA2:7453, QDPR:8084, ERMN:8097, HAPLN2:8272, UGT8:8278, SPOCK3:9972, TF:10497, SLAIN1:11130, ELOVL1:11232, MOBP:11314, GSN:11353, TUBB4A:11611, PLEKHB1:12015, PLP1:12237, CLDND1:12298, STMN4:12309, PLLP:12548, SIRT2:12680, CLDN11:13243, ANLN:13493, ATP1B1:13700, APOD:14704, SLC44A1:14831, CNP:15115, LHPP:15206"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_29_NPC_OPC",-0.0675527876932164,0.109569640760099,0.930032416255532,47,"GRIA2:167, MXD4:196, RFX4:1069, DSEL:1313, SESN3:1329, TRIO:1361, TANC2:1970, REV3L:1992, MAP2:2808, BAZ2B:2834, RFTN2:3136, FAM181B:3244, MMP16:3282, MTSS1:3350, PNRC1:3434, OLIG1:3630, ZNF91:3731, STMN4:3801, SOX6:4271, DOCK10:5527, ARHGEF7:5911, HIP1:6272, ZMYM2:6467, GOLGB1:6513, CHD7:6878, ABAT:7113, RAB3IP:7812, FGFBP3:7826, PEAK1:7995, KLHL24:8650, SOX4:8933, SOX11:9013, DCX:10193, CADM2:10268, TFDP2:10636, SPRY4:10910, BTG1:11364, LDLRAD3:11380, KLF12:12702, MAP3K1:12724, OLIG2:12739, BTG2:12831, DLL3:13016, GLCCI1:13052, KDM5B:14144, VCAN:14525, UBE2H:14556"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_2_CELL_CYCLE_G1_S",-0.0142840002122814,0.735101920545089,0.99765157706311,47,"CDC6:82, MCM7:161, ASF1B:1126, ATAD2:1245, E2F1:1610, MCM5:1737, ZWINT:2229, HELLS:2902, UBE2T:3334, TMEM106C:3576, RFC4:4015, CENPK:4024, MCM4:4862, TK1:4913, DHFR:5407, MCM3:5532, MAD2L1:5957, CHAF1A:6159, CDCA5:7047, MCM6:7178, PSMC3IP:7197, HMGB2:7267, SLBP:7382, USP1:7903, CDCA4:7920, DNAJC9:8462, CDC45:8617, RRM2:8988, CENPU:9025, MYBL2:9069, CLSPN:9075, GMNN:9568, CDK1:10139, RFC2:10280, DUT:10316, PKMYT1:10930, FEN1:11197, RRM1:11582, ORC6:12690, UHRF1:13106, RAD51AP1:13570, DNMT1:14013, RNASEH2A:14276, CENPM:15077, TYMS:15266, MCM2:15605, PCNA:15707"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_30_PDAC_CLASSICAL",-0.0717397303477095,0.100083882887269,0.930032416255532,44,"CEACAM1:505, CLDN18:507, DUOXA2:826, PIGR:907, ISG20:967, VSIG1:1000, PDZK1IP1:1055, TFF2:1322, CDH17:1444, HPGD:1521, SPINK1:1892, MUC13:2279, CEACAM5:2998, TSPAN8:3213, CXCL17:3253, PSCA:3787, LYZ:4219, AKR7A3:4292, TFF3:4411, TM4SF4:4832, PLAC8:5860, REG4:6375, GCNT3:6391, AGR2:7967, FAM3D:8028, PLA2G10:8092, LGALS4:8177, CA2:8657, CTSE:8922, FXYD3:10127, ANXA10:10326, SLC44A4:10348, CES2:10548, TCN1:10934, SLC40A1:10945, CEACAM6:11427, VSIG2:12931, TSPAN1:13113, TFF1:13459, DUOX2:13630, AGR3:14242, OLFM4:15512, PDE4C:15857, CEACAM7:16099"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_31_ALVEOLAR",0.0596763384057399,0.171335505497535,0.930032416255532,44,"MID1IP1:237, PEBP4:579, SERPINA1:747, AK1:879, CACNA2D2:1072, LPCAT1:1151, AQP1:1465, SDR16C5:1991, NNMT:2300, FABP5:2541, SLPI:2954, NPC2:3779, SFTPD:3952, NAPSA:4060, RNASE1:4121, DMBT1:4366, EPHX1:4714, ALOX15B:4751, LAMP3:4977, SCD:5149, SFTA3:6512, MFSD2A:6600, PGC:6751, C4BPA:6807, ABCA3:7212, LRRK2:7559, DUOX1:7931, HSD17B6:8455, S100A9:9155, TFPI:9195, C3:9317, SPINK5:9834, SFTPC:11479, DHCR24:12235, SFTPA1:12350, C16orf89:12805, CXCL17:12857, SFTA2:12995, HOPX:13049, SLC22A31:13197, SFTPB:13852, PIGR:15203, ALPL:15335, SCGB3A1:15870"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_32_SKIN_PIGMENTATION",-0.00764711983630828,0.857772386606389,0.99765157706311,46,"LGALS3:522, MXI1:934, ISG20:967, RAB38:976, QPCT:1415, ZNF106:1788, CHCHD6:1972, PIR:2587, BIRC7:2641, TYRP1:3558, SLC45A2:3619, PLP1:3873, TNFRSF14:4302, TBC1D16:4475, DCT:5658, TIMP2:5888, GPR143:6498, BCL2A1:6646, MITF:7093, NSG1:7417, S100B:7500, TRIM2:7898, QDPR:8026, NBL1:8415, CAPN3:8591, RRAGD:8827, GJB1:9378, DAB2:9620, SNCA:9625, SPON2:9937, WIPI1:10074, FXYD3:10127, MLANA:10228, GYPC:11498, GDF15:11841, TRPM1:11946, PMEL:11947, PHACTR1:12111, TBC1D7:12205, AVPI1:12952, SH3BP5:13609, ASAH1:14191, MBP:14515, SNX10:15488, GPR137B:15599, GPNMB:15706"
"GAVISH_3CA_MALIGNANT_METAPROGRAM_33_RBCS",0.039100162067862,0.381161610903717,0.958438251592035,42,"HMBS:344, KLF1:1597, EPCAM:1756, BLVRB:1921, FAM178B:2170, CASP3:2589, ANK1:2666, CAST:3138, TFR2:3234, FBXO7:3382, PLIN2:4180, AHSP:4237, TFRC:4255, APOC1:4520, CSF2RB:4543, SYNGR1:4996, RHAG:5279, HBB:5498, UBAC1:5696, FCGRT:6093, STRADB:6142, PRDX2:6411, UROD:7048, CA2:7453, GATA1:7952, HBG2:8736, HES6:8755, SLC25A37:9142, LMNA:10791, KCNH2:10840, MYC:10952, MPC2:11018, NFIA:11132, CNRIP1:12280, HAGH:12365, CD36:12955, CA1:12967, REXO2:12987, HBQ1:13103, FECH:15658, S100A6:15739, HBA1:15745"
