"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"No_drug","Associated Mutations","PanCancer","FRRS1","10","2","N","ENSG00000156869","391059","protein_coding","Y","0.000203374055819176","0.0102794510391772","0.640128269802821","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","GK2","10","2","N","ENSG00000196475","2712","protein_coding","Y","0.00013594622841567","0.00715469583569068","0.656359472546073","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ICE1","10","2","N","ENSG00000164151","23379","protein-coding","N","0.217681609715133","0.596573590279973","0.447711526065277","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","KIF19","10","2","N","ENSG00000196169","124602","protein_coding","Y","0","0","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","CASC5","10","2","N","ENSG00000137812","57082","protein_coding","N","0.0685365269977345","0.596573590279973","0.447711526065277","N","Y","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","KNL1","10","2","N","ENSG00000137812","57082","protein-coding","N","0.0607461272160387","0.596573590279973","0.447711526065277","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","MAP3K6","10","2","N","ENSG00000142733","9064","protein_coding","N","0.306570285819853","0.596573590279973","0.447711526065277","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","C17orf104","10","2","N","ENSG00000180336","284071","protein_coding","Y","0.000729231496052332","0.0315485320961623","0.588399442521644","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"No_drug","Associated Mutations","PanCancer","NKTR","10","2","N","ENSG00000114857","4820","protein_coding","Y","0","0","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PDYN","2","2","N","ENSG00000101327","5173","protein_coding","N","0.0470572901797062","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","Y"
"No_drug","Associated Mutations","PanCancer","PTPRJ","2","2","N","ENSG00000149177","5795","protein_coding","N","0.118933097271966","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","RBM46","10","2","N","ENSG00000151962","166863","protein_coding","Y","0","0","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
